detailLink,name,peopleNumber,positionInfo,publishTime,workLocation
http://hr.tencent.com/position_detail.php?id=30109&keywords=&tid=0&lid=0,18403-移动游戏版本管理及内容策划（深圳）,1,产品/项目类,2017-08-30,深圳
http://hr.tencent.com/position_detail.php?id=30126&keywords=&tid=0&lid=0,19881-《王者荣耀》赛事管理（深圳）,1,产品/项目类,2017-08-30,深圳
http://hr.tencent.com/position_detail.php?id=30127&keywords=&tid=0&lid=0,19881-《王者荣耀》活动运营(深圳),1,产品/项目类,2017-08-30,深圳
http://hr.tencent.com/position_detail.php?id=30129&keywords=&tid=0&lid=0,19881-《王者荣耀》平台渠道运营（深圳）,1,产品/项目类,2017-08-30,深圳
http://hr.tencent.com/position_detail.php?id=30131&keywords=&tid=0&lid=0,19881-《王者荣耀》社区渠道运营（深圳）,1,产品/项目类,2017-08-30,深圳
http://hr.tencent.com/position_detail.php?id=30132&keywords=&tid=0&lid=0,19881-《王者荣耀》市场IP运营（深圳）,1,产品/项目类,2017-08-30,深圳
http://hr.tencent.com/position_detail.php?id=30107&keywords=&tid=0&lid=0,18403-移动游戏平台社区运营经理（精品游戏）,1,产品/项目类,2017-08-30,深圳
http://hr.tencent.com/position_detail.php?id=29696&keywords=&tid=0&lid=0,21062-技术架构师（上海）,2,技术类,2017-08-30,上海
http://hr.tencent.com/position_detail.php?id=28933&keywords=&tid=0&lid=0,21085-RPG游戏运营策划（深圳）,1,产品/项目类,2017-08-30,深圳
http://hr.tencent.com/position_detail.php?id=28965&keywords=&tid=0&lid=0,23294-互娱品牌经理（深圳）,1,市场类,2017-08-30,深圳
http://hr.tencent.com/position_detail.php?id=29572&keywords=&tid=0&lid=0,20772-自制综艺节目制片人（北京）,1,产品/项目类,2017-08-30,北京
http://hr.tencent.com/position_detail.php?id=28921&keywords=&tid=0&lid=0,HY2-大数据高级工程师（深圳）,1,技术类,2017-08-30,深圳
http://hr.tencent.com/position_detail.php?id=28793&keywords=&tid=0&lid=0,TEG06-高级云计算开发工程师（深圳）,2,技术类,2017-08-30,深圳
http://hr.tencent.com/position_detail.php?id=28896&keywords=&tid=0&lid=0,HY2-产品运营经理（深圳）,1,产品/项目类,2017-08-30,深圳
http://hr.tencent.com/position_detail.php?id=27904&keywords=&tid=0&lid=0,MIG09-QQ浏览器搜索后台开发工程师,2,技术类,2017-08-30,深圳
http://hr.tencent.com/position_detail.php?id=27916&keywords=&tid=0&lid=0,SA-腾讯社交广告广点通用户画像大数据研发工程师（北京）,2,技术类,2017-08-30,北京
